Business Date,Sedol,ISIN,FIGI,Ticker,BBGID,Name,Offer Rate,Bid Rate,Last Rate,Short Momentum,Short Interest,ShortInterestNotional,ShortInterestPct,S3Float,S3SIPctFloat,IndicativeAvailability,S3Utilization,DaysToCover10Day,DaysToCover30Day,DaysToCover90Day,Crowded Score,Squeeze Score,Original SI
3/4/21,BMF9NM8,US00827B1061,BBG00Y7BP8Y1,AFRM,AFRM US,AFFIRM HLDGS INC,1.57,0.94,1.25,-1.53,5482517.2,473196059.53,0.0611,95180087.2,0.0576,4.81E+06,53.3282,1.50923395021098,1.78168784861826,1.24313775374272,32.5,0,2709601
3/5/21,BMF9NM8,US00827B1061,BBG00Y7BP8Y1,AFRM,AFRM US,AFFIRM HLDGS INC,0.69,0.45,1.27,-11.21,5735205.9,484395490.31,0.064,95400067.9,0.0601,4.49E+06,56.1297,1.49555090231808,1.85337139906258,1.29039445503547,27.5,0,2724802
3/8/21,BMF9NM8,US00827B1061,BBG00Y7BP8Y1,AFRM,AFRM US,AFFIRM HLDGS INC,1.2,0.7,1.23,14.78,5983031.9,485463208.37,0.0656,97134150.9,0.0616,4.25E+06,58.4448,1.46787639678133,1.86031624274712,1.33828558991954,30,0,2782427
3/9/21,BMF9NM8,US00827B1061,BBG00Y7BP8Y1,AFRM,AFRM US,AFFIRM HLDGS INC,1.2,0.71,1.06,0,6148931.8,456927122.06,0.0656,99816861.8,0.0616,4.55E+06,57.4533,1.47895900719836,1.92329258581095,1.38122900419899,30,0,2767858
3/10/21,BMF9NM8,US00827B1061,BBG00Y7BP8Y1,AFRM,AFRM US,AFFIRM HLDGS INC,1.07,0.62,1.22,-2.17,6295019.1,501461221.51,0.0672,99932318.1,0.063,5.35E+06,54.0641,1.52852273036309,1.94760844000285,1.42024830241924,32.5,0,4791480
3/11/21,BMF9NM8,US00827B1061,BBG00Y7BP8Y1,AFRM,AFRM US,AFFIRM HLDGS INC,1.07,0.67,1.06,0,6382265.4,515431753.7,0.0682,100019564.4,0.0638,5.71E+06,52.8105,1.54084702019531,1.95757177950352,1.45936157986814,32.5,0,4709734
3/12/21,BMF9NM8,US00827B1061,BBG00Y7BP8Y1,AFRM,AFRM US,AFFIRM HLDGS INC,0.94,0.56,1,-2.43,6472106,525858612.5,0.0691,100109405,0.0647,6.01E+06,51.9572,1.6952688837864,1.98574411258911,1.49827118264256,32.5,2.5,4610054
3/15/21,BMF9NM8,US00827B1061,BBG00Y7BP8Y1,AFRM,AFRM US,AFFIRM HLDGS INC,0.94,0.62,0.97,0,6577010.7,523332741.4,0.0702,100214309.7,0.0656,5.77E+06,53.357,1.73730581472166,2.01423489364569,1.54032357749815,35,5,4639581
3/16/21,BMF9NM8,US00827B1061,BBG00Y7BP8Y1,AFRM,AFRM US,AFFIRM HLDGS INC,0.94,0.55,0.92,0,6603923,537229136.05,0.0705,100241222,0.0659,6.19E+06,51.6219,1.79347746680031,2.02143684696252,1.56745610822503,35,15,4459087
3/17/21,BMF9NM8,US00827B1061,BBG00Y7BP8Y1,AFRM,AFRM US,AFFIRM HLDGS INC,0.94,0.57,0.79,0,6678280.2,539605040.16,0.0713,100327650.2,0.0666,6.43E+06,50.9506,1.9247012270248,2.03706155675851,1.608219298159,35,25,4356839
